iter	Logloss
0	0.6359646811
1	0.5960463372
2	0.5625057978
3	0.5443869358
4	0.5266058122
5	0.5095140501
6	0.4956408315
7	0.4865058071
8	0.4731803868
9	0.4645514298
10	0.455170446
11	0.4465927909
12	0.4407905371
13	0.4348120383
14	0.4295292789
15	0.4231778121
16	0.4185302857
17	0.4154551572
18	0.4116362643
19	0.4080234709
20	0.4047380676
21	0.4012728098
22	0.3978231272
23	0.3963367609
24	0.3931937282
25	0.3912707068
26	0.3894444652
27	0.3880872544
28	0.386044582
29	0.3845215557
